smiles,cn
CC(=C)CC(C)(C)C,8.8
CCCCCC=CC,43
CC(C)CCCC(C)C,51
CCCCCCCCCC=C,65.5
CCCCCCCCCCCCC=C,80.9
CCCCCCC(=C(C)CCC=C(C)C)C,24
CCCC(CCCC)=CCCCCCCC,45
CCCC=C(CCCC)CCCCCCC,45
C(C(CC)=CCCCCCCC=C(CC)CC)C,26
CCCCCCCCCCCCCCCCC=C,90
CCCCCCCCC(C)=CCCCCCCC,66
CCCCCCCC(CCC)=CCCCCCC,45
CCCCCCCCCC(C)C=CC(C)CCCCCCCCC,56
C1=CC=CC=C1,14.3
CC1=CC=CC=C1,6
CCC1=CC=CC=C1,6.3
CC1=CC=C(C=C1)C,6.2
CC1=CC(=CC(=C1)C)C,8
CCCC1=CC=CC=C1,16
CC1=C(C(=C(C=C1)C)C)C,1
C1=CC=C2C=CC=CC2=C1,22
CC1=CC2=CC=CC=C2C=C1,6
CCCCCC1=CC=CC=C1,18
C1=CC=C(C=C1)C2=CC=CC=C2,12
CC(C)C1=CC(=CC=C1)C(C)C,-3
CCCCCCCCC1=CC=CC=C1,37.5
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,2.8
C(C(CCC)(C)C1=CC=C2C(=C1)C=CC=C2)CC,9
CC(CC(CCCCCCCC)(CC(C)C)C1=CC=CC=C1)C,18
C1(=CC=CC=C1)C(CCCC)(CCCC)CCCCCCCCC,58
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,42
CCCCCCCCCCCCCCCC(CCCC)C1=CC=CC=C1,39
CC(C)(C)O,5.6
COCOC,49
CCOCC,160
CCCCOCCO,41
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,116
CCCCCCC(CC)C(CC)CCCCCC,67
CCCCCCCCCCCC(=O)OCCCC,73
CCCCCCCC(=O)OCCCC,39.6
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,102
C1CCCC1,6.1
CCCCCCCCCC(=O)O,48
CCCCCCCCCCOC(=O)C,62
CCCCCCCCCCOC(=O)CCCCCCCCC,81
CCCCCCCCCCCC(=O)OCCCCCCCCCC,84
CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,72
CCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC,134
CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,91
CCCCCCCCCCOC(=O)CCCC,61
CCCCOC(=O)CCCCC(=O)OCCCC,81
CCCCOC(=O)CCCCCCCC(=O)OCCCC,83
CCCCOC(=O)CC(=O)OCCCC,21
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,38
CCCCOC(=O)CCC(=O)OCCCC,21
CCOC(=O)CCCCC(=O)OCC,15
CCOC(=O)CCCCCCCC(=O)OCC,47
CCOC(=O)CCC(=O)OCC,21
CCOC(=O)C(=O)OCC,21
CCOC(=O)CCCCCCCCC(=O)OCC,47
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,99
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,48
COC(=O)CCCCC(=O)OC,5
COC(=O)CCCCCCCC(=O)OC,24
COC(=O)CC(=O)OC,15
COC(=O)C1=CC=CC=C1C(=O)OC,19
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,89
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,70
CCCCCOCCCCC,111
CCCCCCCCCCCCOC(=O)C,77
CCCCCCCCCCCCOC(=O)CCCCCCCCCCC,85
CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,74
CCCCCCCCCCCCOC(=O)CCCC,67
CCCCCCCCCCCC(=O)OCC,73
CCOC(=O)CCC(=O)C,6
CCCCCC=CCC=CCCCCCCCC(=O)OCC,44.4
CCC=CCC=CCC=CCCCCCCCC(=O)OCC,27
CC(=O)OCC(COC(=O)C)OC(=O)C,5
CCCCCCCCCCCCCCCCOC(=O)C,86
CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC,88
CCCCCCCCCC(=O)OCCCCCC,64
CCCCCCCCCCCC(=O)OCCCCCC,74
CCCCCCCCCCCCCC(=O)OCCCCCC,72
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC,102
CCCCCCCCCCCCCCCC(=O)OCCCCCC,87
CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,99
CCCCCCCCCC(=O)OC(C)C,46.6
CCCCCC=CCC=CCCCCCCCC(=O)O,31
CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)OC,24.4
CCCCCCCCCCCCCCCCCCCC(=O)OC,100
CCCC(=O)OC,6.4
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,74.2
CCCCCC=CCC=CCC=CCCCCC(=O)OC,29.2
CCCCCCCCC=CCCCCCCCCCC(=O)OC,73.2
CCCCCCCCCCCC=CCCCCC(=O)OC,58.6
CCCCCCC(CC=CCCCCCCCC(=O)OC)O,37.4
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC,29.6
COC(=O)CCCCCCCC=C,38.3
CCCCCCCCCCCCCCCCCCOC(=O)C,90
CCCCCCCCCCCC(=O)OCCCCCCCC,84
CCCCCCCCCCCCCC(=O)OCCCCCCCC,71
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCC,131
CCCCCCCCOC(=O)CCCC,49
CCCCCOC(=O)CCCC,28.2
C1CCC2C(C1)CCC3C2CCCC3,38.8
CCCCCCCCCCCC(=O)OCCC,71
CCCCCCCCCCCCCC(=O)OCCC,71
CCCCCCCCCCCCCCOC(=O)C,81
COCCOCCOCCOC,120
C1=COC=C1,7
CC(C)C(C)C(C)C,14
CC1CC(C(C1)(C)C)C,34.2
CC1CCCCC1(C)C,29
CCC(C)(C)C(C)C,17
CCC(C)C(C)(C)C,14
CCC(C)C(C)CC,20
CCC(C)CC(C)C,29
CCC(CC)(CC)CC,17
CCC(CC)C(C)C,12
CCCC,20.6
